reference_date,location,horizon,model,target_end_date,truth,point,wis,mae,persistence_mae
2024-11-23,18,1,baseline,2024-11-30,41.0,26.0,10.884347826086957,15.0,15.0
2024-11-23,18,2,ensemble,2024-12-07,65.0,62.0,10.389565217391308,3.0,39.0
2024-11-23,18,2,baseline,2024-12-07,65.0,26.0,20.711739130434783,39.0,39.0
2024-11-23,18,3,ensemble,2024-12-14,140.0,70.0,31.458695652173915,70.0,114.0
2024-11-23,18,3,baseline,2024-12-14,140.0,26.0,58.72347826086958,114.0,114.0
2024-11-23,19,1,ensemble,2024-11-30,4.0,9.0,3.1439130434782614,5.0,1.0
2024-11-23,19,1,baseline,2024-11-30,4.0,4.0,2.6447826086956527,0.0,1.0
2024-11-23,19,2,ensemble,2024-12-07,13.0,14.0,3.0973913043478265,1.0,8.0
2024-11-23,19,2,baseline,2024-12-07,13.0,4.0,5.197826086956522,9.0,8.0
2024-11-23,19,3,ensemble,2024-12-14,23.0,19.0,5.576086956521739,4.0,18.0
2024-11-23,19,3,baseline,2024-12-14,23.0,4.0,9.132173913043479,19.0,18.0
2024-11-23,20,1,ensemble,2024-11-30,20.0,19.0,2.707391304347826,1.0,9.0
2024-11-23,20,1,baseline,2024-11-30,20.0,11.0,5.269130434782609,9.0,9.0
2024-11-23,20,2,ensemble,2024-12-07,35.0,23.0,6.122173913043477,12.0,24.0
2024-11-23,20,2,baseline,2024-12-07,35.0,11.0,12.351304347826089,24.0,24.0
2024-11-23,20,3,ensemble,2024-12-14,90.0,30.0,38.43869565217391,60.0,79.0
2024-11-23,20,3,baseline,2024-12-14,90.0,11.0,49.41652173913044,79.0,79.0
2024-11-23,21,1,ensemble,2024-11-30,24.0,33.0,5.78695652173913,9.0,6.0
2024-11-23,21,1,baseline,2024-11-30,24.0,17.0,7.558695652173914,7.0,6.0
2024-11-23,21,2,ensemble,2024-12-07,53.0,41.0,8.719130434782608,12.0,35.0
2024-11-23,21,2,baseline,2024-12-07,53.0,17.0,18.430869565217392,36.0,35.0
2024-11-23,21,3,ensemble,2024-12-14,79.0,52.0,16.02565217391305,27.0,61.0
2024-11-23,21,3,baseline,2024-12-14,79.0,17.0,29.97043478260869,62.0,61.0
2024-11-23,22,1,ensemble,2024-11-30,135.0,106.0,14.649999999999995,29.0,56.0
2024-11-23,22,1,baseline,2024-11-30,135.0,83.0,31.434347826086956,52.0,56.0
2024-11-23,22,2,ensemble,2024-12-07,153.0,112.0,20.093913043478256,41.0,74.0
2024-11-23,22,2,baseline,2024-12-07,153.0,83.0,40.92217391304347,70.0,74.0
2024-11-23,22,3,ensemble,2024-12-14,249.0,116.0,85.97999999999999,133.0,170.0
2024-11-23,22,3,baseline,2024-12-14,249.0,83.0,111.59913043478258,166.0,170.0
2024-11-23,23,1,ensemble,2024-11-30,2.0,4.0,1.6908695652173913,2.0,2.0
2024-11-23,23,1,baseline,2024-11-30,2.0,0.0,1.4417391304347829,2.0,2.0
2024-11-23,23,2,ensemble,2024-12-07,3.0,6.0,1.952608695652174,3.0,3.0
2024-11-23,23,2,baseline,2024-12-07,3.0,0.0,2.0852173913043486,3.0,3.0
2024-11-23,23,3,ensemble,2024-12-14,2.0,8.0,2.8921739130434783,6.0,2.0
2024-11-23,23,3,baseline,2024-12-14,2.0,0.0,2.4069565217391315,2.0,2.0
2024-11-23,24,1,ensemble,2024-11-30,21.0,21.0,3.7169565217391307,0.0,10.0
2024-11-23,24,1,baseline,2024-11-30,21.0,12.0,6.401304347826085,9.0,10.0
2024-11-23,24,2,ensemble,2024-12-07,37.0,25.0,6.706086956521741,12.0,26.0
2024-11-23,24,2,baseline,2024-12-07,37.0,12.0,12.57521739130435,25.0,26.0
2024-11-23,24,3,ensemble,2024-12-14,73.0,32.0,21.359130434782614,41.0,62.0
2024-11-23,24,3,baseline,2024-12-14,73.0,12.0,29.047391304347826,61.0,62.0
2024-11-23,25,1,ensemble,2024-11-30,63.0,43.0,10.237826086956522,20.0,47.0
2024-11-23,25,1,baseline,2024-11-30,63.0,16.0,24.437826086956523,47.0,47.0
2024-11-23,25,2,ensemble,2024-12-07,83.0,48.0,15.218260869565219,35.0,67.0
2024-11-23,25,2,baseline,2024-12-07,83.0,16.0,31.797391304347826,67.0,67.0
2024-11-23,25,3,ensemble,2024-12-14,126.0,71.0,26.983913043478257,55.0,110.0
2024-11-23,25,3,baseline,2024-12-14,126.0,16.0,52.06391304347827,110.0,110.0
2024-11-23,26,1,ensemble,2024-11-30,65.0,89.0,15.540434782608699,24.0,19.0
2024-11-23,26,1,baseline,2024-11-30,65.0,54.0,14.536956521739128,11.0,19.0
2024-11-23,26,2,ensemble,2024-12-07,91.0,111.0,17.268260869565214,20.0,45.0
2024-11-23,26,2,baseline,2024-12-07,91.0,54.0,25.84739130434783,37.0,45.0
2024-11-23,26,3,ensemble,2024-12-14,170.0,138.0,24.466956521739124,32.0,124.0
2024-11-23,26,3,baseline,2024-12-14,170.0,54.0,56.67826086956522,116.0,124.0
2024-11-23,27,1,ensemble,2024-11-30,18.0,40.0,12.207391304347828,22.0,10.0
2024-11-23,27,1,baseline,2024-11-30,18.0,26.0,6.022173913043478,8.0,10.0
2024-11-23,27,2,ensemble,2024-12-07,40.0,55.0,11.002173913043478,15.0,32.0
2024-11-23,27,2,baseline,2024-12-07,40.0,26.0,9.108260869565216,14.0,32.0
2024-11-23,27,3,ensemble,2024-12-14,92.0,65.0,16.0195652173913,27.0,84.0
2024-11-23,27,3,baseline,2024-12-14,92.0,26.0,36.21347826086957,66.0,84.0
2024-11-23,28,1,ensemble,2024-11-30,28.0,39.0,6.73391304347826,11.0,4.0
2024-11-23,28,1,baseline,2024-11-30,28.0,24.0,5.274347826086958,4.0,4.0
2024-11-23,28,2,ensemble,2024-12-07,39.0,47.0,6.418260869565217,8.0,15.0
2024-11-23,28,2,baseline,2024-12-07,39.0,24.0,9.166956521739131,15.0,15.0
2024-11-23,28,3,ensemble,2024-12-14,61.0,64.0,8.137826086956524,3.0,37.0
2024-11-23,28,3,baseline,2024-12-14,61.0,24.0,18.73217391304348,37.0,37.0
2024-11-23,29,1,ensemble,2024-11-30,41.0,60.0,10.85086956521739,19.0,12.0
2024-11-23,29,1,baseline,2024-11-30,41.0,29.0,9.800869565217392,12.0,12.0
2024-11-23,29,2,ensemble,2024-12-07,54.0,79.0,15.938695652173909,25.0,25.0
2024-11-23,29,2,baseline,2024-12-07,54.0,29.0,15.845217391304347,25.0,25.0
2024-11-23,29,3,ensemble,2024-12-14,88.0,90.0,15.297826086956523,2.0,59.0
2024-11-23,29,3,baseline,2024-12-14,88.0,29.0,30.03521739130435,59.0,59.0
2024-11-23,30,1,ensemble,2024-11-30,1.0,6.0,2.823478260869565,5.0,3.0
2024-11-23,30,1,baseline,2024-11-30,1.0,4.0,2.333478260869566,3.0,3.0
2024-11-23,30,2,ensemble,2024-12-07,2.0,8.0,3.198260869565218,6.0,2.0
2024-11-23,30,2,baseline,2024-12-07,2.0,4.0,2.711739130434783,2.0,2.0
2024-11-23,30,3,ensemble,2024-12-14,6.0,11.0,3.3717391304347832,5.0,2.0
2024-11-23,30,3,baseline,2024-12-14,6.0,4.0,3.252608695652174,2.0,2.0
2024-11-23,31,1,ensemble,2024-11-30,11.0,10.0,1.8073913043478265,1.0,5.0
2024-11-23,31,1,baseline,2024-11-30,11.0,6.0,3.009565217391305,5.0,5.0
2024-11-23,31,2,ensemble,2024-12-07,10.0,12.0,2.402173913043478,2.0,4.0
2024-11-23,31,2,baseline,2024-12-07,10.0,6.0,3.2600000000000002,4.0,4.0
2024-11-23,31,3,ensemble,2024-12-14,19.0,16.0,3.3530434782608696,3.0,13.0
2024-11-23,31,3,baseline,2024-12-14,19.0,6.0,6.320000000000002,13.0,13.0
2024-11-23,32,1,ensemble,2024-11-30,61.0,59.0,6.36304347826087,2.0,18.0
2024-11-23,32,1,baseline,2024-11-30,61.0,40.0,12.286956521739132,21.0,18.0
2024-11-23,32,2,ensemble,2024-12-07,81.0,68.0,9.81391304347826,13.0,38.0
2024-11-23,32,2,baseline,2024-12-07,81.0,40.0,22.96391304347826,41.0,38.0
2024-11-23,32,3,ensemble,2024-12-14,113.0,73.0,20.47478260869565,40.0,70.0
2024-11-23,32,3,baseline,2024-12-14,113.0,40.0,41.839999999999996,73.0,70.0
2024-11-23,33,1,ensemble,2024-11-30,14.0,16.0,2.118695652173913,2.0,8.0
2024-11-23,33,1,baseline,2024-11-30,14.0,11.0,2.2039130434782606,3.0,8.0
2024-11-23,33,2,ensemble,2024-12-07,16.0,19.0,3.018695652173913,3.0,10.0
2024-11-23,33,2,baseline,2024-12-07,16.0,11.0,3.1904347826086954,5.0,10.0
2024-11-23,33,3,ensemble,2024-12-14,22.0,21.0,3.4160869565217395,1.0,16.0
2024-11-23,33,3,baseline,2024-12-14,22.0,11.0,5.7708695652173905,11.0,16.0
2024-11-23,34,1,ensemble,2024-11-30,67.0,63.0,9.15304347826087,4.0,30.0
2024-11-23,34,1,baseline,2024-11-30,67.0,36.0,18.17739130434783,31.0,30.0
2024-11-23,34,2,ensemble,2024-12-07,109.0,75.0,18.132608695652173,34.0,72.0
