model,reference_date,location,horizon,target_end_date,truth,point,wis,mae,persistence_mae
ensemble,2023-10-21,13,2,2023-11-04,60.0,36.0665523064638,12.228118477714998,23.933447693536202,21.0
ensemble,2023-10-21,13,3,2023-11-11,116.0,36.85,48.52118466851734,79.15,77.0
ensemble,2023-10-21,15,1,2023-10-28,13.0,11.45,1.6604204095994004,1.5500000000000007,2.0
ensemble,2023-10-21,15,2,2023-11-04,14.0,12.0,1.8718260377955929,2.0,1.0
ensemble,2023-10-21,15,3,2023-11-11,16.0,12.0,2.4394117742089,4.0,1.0
ensemble,2023-10-21,16,1,2023-10-28,4.0,3.167593146420393,1.1676365935336308,0.8324068535796072,2.0
ensemble,2023-10-21,16,2,2023-11-04,5.0,3.999999999999999,1.2867897511045736,1.0000000000000009,3.0
ensemble,2023-10-21,16,3,2023-11-11,4.0,4.095366973658448,1.1193950156047712,0.09536697365844837,2.0
ensemble,2023-10-21,17,1,2023-10-28,21.0,24.251,3.70302560434376,3.2510000000000012,3.0
ensemble,2023-10-21,17,2,2023-11-04,34.0,24.845133617484983,5.620667111850418,9.154866382515017,16.0
ensemble,2023-10-21,17,3,2023-11-11,54.0,25.049,14.922655934358053,28.951,36.0
ensemble,2023-10-21,18,1,2023-10-28,33.0,19.77418087136508,7.1657741437254,13.225819128634921,10.0
ensemble,2023-10-21,18,2,2023-11-04,39.0,21.07047644749168,9.075600758060903,17.92952355250832,16.0
ensemble,2023-10-21,18,3,2023-11-11,47.0,26.5,10.626361020260266,20.5,24.0
ensemble,2023-10-21,19,1,2023-10-28,4.0,4.020286979269065,1.3022910212814731,0.02028697926906542,3.0
ensemble,2023-10-21,19,2,2023-11-04,10.0,4.098447901911078,3.083950215849856,5.901552098088922,9.0
ensemble,2023-10-21,19,3,2023-11-11,13.0,4.042503219210246,4.43689540369167,8.957496780789754,12.0
ensemble,2023-10-21,20,1,2023-10-28,5.0,8.38865,1.9123006231774138,3.38865,1.0
ensemble,2023-10-21,20,2,2023-11-04,6.0,8.59043,1.9816073144461028,2.5904299999999996,2.0
ensemble,2023-10-21,20,3,2023-11-11,10.0,9.333586726696794,1.8180457527467158,0.6664132733032062,6.0
ensemble,2023-10-21,21,1,2023-10-28,23.0,17.4026102747372,3.818615614397708,5.597389725262801,0.0
ensemble,2023-10-21,21,2,2023-11-04,21.0,18.9260863545816,3.5022267364255004,2.0739136454184006,2.0
ensemble,2023-10-21,21,3,2023-11-11,33.0,21.086226459771183,6.323757234209482,11.913773540228817,10.0
ensemble,2023-10-21,22,1,2023-10-28,46.0,22.0,14.711844893399915,24.0,18.0
ensemble,2023-10-21,22,2,2023-11-04,40.0,24.0,7.432507714447718,16.0,12.0
ensemble,2023-10-21,22,3,2023-11-11,65.0,22.56,28.261278257599756,42.44,37.0
ensemble,2023-10-21,23,1,2023-10-28,4.0,3.40937591222833,1.0434690094877646,0.59062408777167,0.0
ensemble,2023-10-21,23,2,2023-11-04,1.0,3.8627499999999992,1.8629768105903393,2.8627499999999992,3.0
ensemble,2023-10-21,23,3,2023-11-11,4.0,4.0,1.198850067302375,0.0,0.0
ensemble,2023-10-21,24,1,2023-10-28,10.0,5.484999999999999,2.40035900911452,4.515000000000001,7.0
ensemble,2023-10-21,24,2,2023-11-04,15.0,6.256621510607953,4.688231292266989,8.743378489392047,12.0
ensemble,2023-10-21,24,3,2023-11-11,19.0,5.862635913209678,7.10745867207197,13.137364086790322,16.0
ensemble,2023-10-21,25,1,2023-10-28,28.0,17.0,6.039719729830229,11.0,12.0
ensemble,2023-10-21,25,2,2023-11-04,30.0,19.8660063853043,5.6988784185299535,10.1339936146957,14.0
ensemble,2023-10-21,25,3,2023-11-11,31.0,19.586088621272467,6.278247396997479,11.413911378727533,15.0
ensemble,2023-10-21,26,1,2023-10-28,12.0,23.53785889239048,6.294239211928405,11.537858892390481,8.0
ensemble,2023-10-21,26,2,2023-11-04,34.0,23.448639880781005,6.620057319812149,10.551360119218995,14.0
ensemble,2023-10-21,26,3,2023-11-11,30.0,26.7305,7.0006629190068415,3.2695000000000007,10.0
ensemble,2023-10-21,27,1,2023-10-28,4.0,5.1059974137626725,1.5046747860344296,1.1059974137626725,2.0
ensemble,2023-10-21,27,2,2023-11-04,9.0,5.623249991182129,2.1774415414102792,3.3767500088178712,3.0
ensemble,2023-10-21,27,3,2023-11-11,18.0,6.110392502921437,6.450439505652392,11.889607497078563,12.0
ensemble,2023-10-21,28,1,2023-10-28,18.0,28.0,5.48894076855656,10.0,4.0
ensemble,2023-10-21,28,2,2023-11-04,30.0,30.678,3.998003402677785,0.6780000000000008,8.0
ensemble,2023-10-21,28,3,2023-11-11,38.0,30.4405,5.557423822999446,7.5595,16.0
ensemble,2023-10-21,29,1,2023-10-28,17.0,25.12,5.096327841328824,8.120000000000001,8.0
ensemble,2023-10-21,29,2,2023-11-04,24.0,29.64693066715517,5.142966159143235,5.646930667155171,1.0
ensemble,2023-10-21,29,3,2023-11-11,40.0,32.6,7.18440077875292,7.399999999999999,15.0
ensemble,2023-10-21,30,1,2023-10-28,0.0,1.5080607993953596,0.8288188124678431,1.5080607993953596,0.0
ensemble,2023-10-21,30,2,2023-11-04,1.0,1.7508,0.7649373413594384,0.7507999999999999,1.0
ensemble,2023-10-21,30,3,2023-11-11,5.0,2.096492670653208,1.425195479127823,2.903507329346792,5.0
ensemble,2023-10-21,31,1,2023-10-28,7.0,5.479306705489516,1.3772756657055327,1.520693294510484,2.0
ensemble,2023-10-21,31,2,2023-11-04,5.0,6.01,1.4500120991877041,1.0099999999999998,4.0
ensemble,2023-10-21,31,3,2023-11-11,5.0,6.986087219038859,1.6209173427556576,1.9860872190388594,4.0
ensemble,2023-10-21,32,1,2023-10-28,8.0,7.82,1.7093869916938584,0.17999999999999972,2.0
ensemble,2023-10-21,32,2,2023-11-04,13.0,9.5,2.7645542949634874,3.5,7.0
ensemble,2023-10-21,32,3,2023-11-11,22.0,10.45,5.374655086466499,11.55,16.0
ensemble,2023-10-21,33,1,2023-10-28,2.0,2.15137,0.6660996667189302,0.15137,2.0
